StaffID,Fname,Lname,Email,Phone,password,Department 
R1000,Sean,kurka ,skur@gmail.com,5164162272,vguv,1
R1001,Johnathan,Doe,jdoe@yahoo.com,9296644451,rxfsuz,1
R1002,Sarah,Oza,soza@hotmail.com,4562152558,psjhjobmQbttxpse,3
R1003,Adam,Greene ,Agre@yahoo.com,216871621,Bdfuzmfof$43,4
R1004,Ryan,Smith,rsmi@outlook.com,4423383333,BBBBBBBHII,5
R1005,Pet5,Quill,bhunt5@gmail.com,4566356748,91tSpdlTpoht,6
R1006,Marc,Spector,historyfan@gmail.com,3262317839,"Qzsbnjetbsfsfbm32""",7
R1007,Franklin,Green,green@gmail.com,5634584852,Uvsumfifbsu45,1
R1008,Mike,Rafone,mik5a@yahoo.com,6743435563,Potubhf5fwfs,2
R1009,Elieen,Dov5,dov5@outlook.com,8676733245,"Voefsnfbmxbzt""",3
R1010,Jane,Smith,smithj@NSA.gov,6666666666,nzqipofovncfsjtdppm,4
R1011,Daniel,Sparks,danny@hotmail.com,1111111111,pof,5
R1014,Penny,Lynn,co@gmail.com,45399493,qfoozmzoo2:::,8
R1015,Jo,Mama,jm@proton.me,3369923437,kpfz&&,2
R1016,Cyril,Guh,c5eal@proton.me,3475310000,cmbsg,4
R1017,Steve ,Lacy,stel22@gmail.com,5436900083,cbeibc66119,5
R1018,Leon,Kennedy,leok18@gmail.com,3458974677,Sbddjuz99876,6
R1019,Pet5 ,Park5,petp19@gmail.com,6139780023,QQ1:987,7
R1020,Ava,Johnson,ajohnson1@collegehub.edu,5551238472,"Dbnqvt""35",8
R1021,Liam,Cart5,"lcart52@campusmail.edu  ",5552389045,Sbnt3136+,1
R1022,Sophia,Martinez,smartinez3@studentlife.edu,5553176629,VojMjol$89,2
R1023,Noah,Bennett,"nbennett4@unilink.edu  ",5554821903,"Hp3Fwfout""",3
R1024,Isabella,Reed,"ireed5@campusconnect.edu  ",5556947718,TuvefouA::,4
R1025,Joe,Robbinson,joe.rob@farm.edu,6317654321,QA66x1se,1
R1026,Joey,Robbingson,joey.rob@farm.edu,6311234567,qAttX1se,2
R1027,Jon,Robson,jon.rob@farm.edu,6312134567,Qb66x1se,3
R1028,John,Robb5tson,john.rob@farm.edu,6313124567,qb66X1se,4
R1029,Jonny,Rob5ts,jonny.rob@farm.edu,6314123567,MfuNfQbtt,5
R0206,Colin,Hose,hosecj@farm.edu,6313210086,Eboez,6
